newStory*************************************
newScene0*************************************

1	او	PR	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg0		1+||| ROLE	
15	شده‌است	V	PRD	10	چاک دادن§v-8540	رخداد§n-13136	no		||| JUNK	
16	.	PUNC	PUNC	9	null	null	junk		||| %%%%

1	در	PREP	ADVRB	9	null	null	junk	ArgM_TMP		||| ROLE_STATE	
2	اين	ADJ	NPREMOD	3	null	null	junk		3||| JUNK	
3	لحظه	N	ADVRB	9	null	null	no	ArgM_TMP		||| JUNK	
4	او	PR	SBJ	9	وزير§n-12032	نفر§n-13075	role	Arg0	Arg0		2-||| JUNK	ROLE	
5	رو	N	NVE	9	null	null	junk		||| ROLE	
6	به	PREP	NPP	5	null	null	junk	Arg3		||| JUNK	
7	همسر	N	NPP	5	عيال§n-12059	نفر§n-13075	role	Arg3		||| JUNK	
8	ش	PR	MOZ	7	مرد زندگي§n-13369	نفر§n-13075	role		2-||| %%%%
9	نمود	V	VCONJ	13	رو کردن§v-8630	رخداد§n-13136	role_action		2-||| ROLE_STATE	
10	و	CONJ	VCONJ	13	null	null	junk		||| NO	
11	به	PREP	VPP	13	null	null	junk	Arg3		||| LOCATION	
12	او	PR	POSDEP	11	عيال§n-12059	نفر§n-13075	role		7||| JUNK	
13	گفت	V	ROOT	0	گفتن§v-9244	رخداد§n-13136	junk		2-||| %%%%
14	که	SUBR	VCL	13	null	null	junk	Arg1		||| JUNK	
15	اين	ADJ	NPREMOD	16	null	null	junk		16||| NO	
16	تهمت	N	SBJ	23	تهمت§n-22120	خصوصيت_رواني§n-12725	role_intent	Arg1		22||| ROLE_STATE	
17	و	CONJ	NCONJ	16	null	null	junk		||| ROLE	
18	افترا	N	NCONJ	16	null	null	role_intent		22||| JUNK	
19	از	PREP	MOS	23	null	null	junk	Arg2		||| JUNK	
20	مکر	N	MOS	23	null	null	role_intent	Arg2		22||| JUNK	
21	زنانه	ADJ	NPOSTMOD	20	زنانه§a-868	مشخصه§n-12756	role_state		22||| JUNK	
22	شما	PR	MOZ	20	عيال§n-12059	نفر§n-13075	role		7||| JUNK	
23	ست	V	PRD	14	بودن§v-9328	رخداد§n-13136	no		||| %%%%
24	.	PUNC	PUNC	13	null	null	junk		||| JUNK	
roles= [
	[10	زليخا	N	SBJ	14	null	null	role	Arg0		||| NO	]
			[7	زليخا	N	MOZ	6	null	null	role		||| NO	]
	[12	يوسف	N	MOZ	11	يوسف§n-23957	نفر§n-13075	role		||| JUNK	]
			[22	يوسف	N	MOZ	21	يوسف§n-23957	نفر§n-13075	role		||| ROLE	]
			[6	يوسف	N	MOZ	5	يوسف§n-23957	نفر§n-13075	role		||| JUNK	]
	[6	همسر	N	SBJ	11	مرد زندگي§n-13369	نفر§n-13075	role	Arg0	Arg0		||| STATIC_OBJECT	ROLE_STATE	]
	[2	عزيز	N	SBJ	8	وزير§n-12032	نفر§n-13075	role	Arg0	Arg0		||| JUNK	DYNAMIC_OBJECT	]
	[4	او	PR	SBJ	9	وزير§n-12032	نفر§n-13075	role	Arg0	Arg0		2-||| JUNK	ROLE	]
	[7	همسر	N	NPP	5	عيال§n-12059	نفر§n-13075	role	Arg3		||| JUNK	]
	[8	ش	PR	MOZ	7	مرد زندگي§n-13369	نفر§n-13075	role		2-||| %%%%]
	[12	او	PR	POSDEP	11	عيال§n-12059	نفر§n-13075	role		7||| JUNK	]
	[22	شما	PR	MOZ	20	عيال§n-12059	نفر§n-13075	role		7||| JUNK	]]
DynamicObjects= []
StaticObjects= [
	[7	درب	N	MOZ	6	درگاه§n-10373	ساختار§n-12875	static_object		||| JUNK	]
	[11	پيراهن	N	OBJ	14	پيرهن§n-11108	شيء§n-12703	static_object	Arg1		||| ROLE_ACTION	]
			[21	پيراهن	N	MOZ	20	پيرهن§n-11108	شيء§n-12703	static_object		||| TIME	]
			[5	پيراهن	N	VPP	8	پيرهن§n-11108	شيء§n-12703	static_object	Arg3		||| NO	]
			[11	پيراهن	N	SBJ	15	پيرهن§n-11108	شيء§n-12703	static_object	Arg1		||| JUNK	]]
location= []
alternativeLocations= [
	[6	پشت	N	ADVRB	14	null	null	location	ArgM_TMP		loc||| JUNK	]]
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[14	کشيد	V	ROOT	0	null	null	role_action		10||| JUNK	]
	[11	رسيد	V	VCONJ	18	رسيدن§v-8613	رخداد§n-13136	role_action		6||| ROLE_ACTION	]
	[18	نمود	V	ROOT	0	رويت کردن§v-8581	رخداد§n-13136	role_action		6||| ROLE_INTENT	]
	[9	ديد	V	ROOT	0	ديدن§v-9138	رخداد§n-13136	role_action		2||| JUNK	]
	[9	نمود	V	VCONJ	13	رو کردن§v-8630	رخداد§n-13136	role_action		2-||| ROLE_STATE	]]
role_states= [
	[21	زنانه	ADJ	NPOSTMOD	20	زنانه§a-868	مشخصه§n-12756	role_state		22||| JUNK	]]
role_intents= [
	[17	مشاهده	N	NVE	18	null	null	role_intent		6||| NO	]
	[16	تهمت	N	SBJ	23	تهمت§n-22120	خصوصيت_رواني§n-12725	role_intent	Arg1		22||| ROLE_STATE	]
	[18	افترا	N	NCONJ	16	null	null	role_intent		22||| JUNK	]
	[20	مکر	N	MOS	23	null	null	role_intent	Arg2		22||| JUNK	]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= [
	[19	پاره	ADJ	PREDEP	20	پاره§a-2389	مشخصه§n-12756	static_object_state		21||| JUNK	]
	[14	پاره	ADJ	MOS	15	پاره§a-2389	مشخصه§n-12756	static_object_state	Arg2		11||| JUNK	]]

newScene11*************************************

1	زليخا	N	SBJ	3	null	null	role	Arg0	Arg0	Arg0		||| JUNK	JUNK	JUNK	
2	نقشه‌اي	N	NVE	3	فکر§n-13030	خصوصيت_رواني§n-12725	role_intent		1||| JUNK	
3	کشيد	V	ROOT	0	طراحي کردن§v-9745	رخداد§n-13136	role_action		1||| JUNK	
4	که	SUBR	VCL	3	null	null	junk	Arg3		||| ROLE_STATE	
5	زنان	N	OBJ	11	زوجه§n-12069	نفر§n-13075	role	Arg1		||| JUNK	
6	اشراف‌زاده	ADJ	NPOSTMOD	5	شيک§a-2189	مشخصه§n-12756	role_state		6||| ROLE_INTENT	
7	را	POSTP	OBJ	11	null	null	junk	Arg1		||| ROLE_ACTION	
8	به	PREP	NPP	10	null	null	junk	Arg3		||| JUNK	
9	قصر	N	NPP	10	کاخ§n-10991	ساختار§n-12875	location	Arg3		loc||| ROLE	
10	دعوت	N	NVE	11	دعوت§n-11510	خبر§n-12766	role_intent		1||| JUNK	
11	کند	V	PRD	4	null	null	junk		||| ROLE_STATE	
12	تا	SUBR	AJUCL	11	null	null	junk	ArgM_CAU		||| JUNK	
13	يوسف	N	OBJ	18	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	
14	را	POSTP	OBJ	18	null	null	junk	Arg1		||| ROLE_INTENT	
15	به	PREP	VPP	18	null	null	junk	Arg3		||| JUNK	
16	آن‌ها	PR	VPP	18	زوجه§n-12069	نفر§n-13075	role	Arg3		5||| JUNK	
17	نشان	N	NVE	18	null	null	junk		||| JUNK	
18	دهد	V	PRD	12	null	null	junk		||| JUNK	
19	.	PUNC	PUNC	3	null	null	junk		||| ROLE_ACTION	

1	او	PR	SBJ	9	null	null	role	Arg0	Arg0		1-||| JUNK	
2	براي	PREP	ADVRB	9	null	null	junk	ArgM_CAU		||| ROLE	
3	اجراي	N	POSDEP	2	اجرا کردن§n-10404	رخداد§n-13136	no		||| JUNK	
4	نقشه	N	MOZ	3	فکر§n-13030	خصوصيت_رواني§n-12725	role_intent		1||| ROLE	
5	اش	PR	MOZ	4	null	null	role		1||| JUNK	
6	مهماني	N	OBJ	9	ضيافت§n-13150	رخداد§n-13136	role_intent	Arg1		1||| JUNK	
7	بزرگي	ADJ	NPOSTMOD	6	بزرگ§a-384	مشخصه§n-12756	no		||| JUNK	
8	ترتيب	N	NVE	9	ترتيب§n-11360	خصوصيت_رواني§n-12725	no		||| JUNK	
9	داد	V	PREDEP	10	null	null	role_action		1||| ROLE_INTENT	
10	و	CONJ	VCONJ	22	null	null	junk		||| NO	
11	تمام	ADJ	NPREMOD	12	null	null	junk		12||| ROLE	
12	زنان	N	OBJ	22	زوجه§n-12069	نفر§n-13075	role	Arg1		||| ROLE	
13	اشرافي	ADJ	NPOSTMOD	12	شيک§a-2189	مشخصه§n-12756	role_state		12||| JUNK	
14	و	CONJ	AJCONJ	13	null	null	junk		||| JUNK	
15	متمکن	ADJ	AJCONJ	13	غني§a-46	مشخصه§n-12756	role_state		12||| %%%%
16	شهر	N	MOZ	12	ملک§n-11759	گروه§n-12753	role_state		12||| JUNK	
17	را	POSTP	OBJ	22	null	null	junk	Arg1		||| JUNK	
18	به	PREP	NPP	21	null	null	junk	Arg3		||| DYNAMIC_OBJECT	
19	قصر	N	NPP	21	کاخ§n-10991	ساختار§n-12875	location	Arg3		||| JUNK	
20	خود	PR	MOZ	19	null	null	role		1||| ROLE_INTENT	
21	دعوت	N	NVE	22	دعوت§n-11510	خبر§n-12766	role_intent		1||| JUNK	
22	نمود	V	ROOT	0	خواندن§v-8493	رخداد§n-13136	role_action		1||| JUNK	
23	.	PUNC	PUNC	22	null	null	junk		||| ROLE	

1	سپس	SUBR	ROOT	0	null	null	junk	ArgM_ADV		||| JUNK	
2	به	PREP	NPP	5	null	null	junk	Arg3		||| JUNK	
3	کنيزان	N	NPP	5	null	null	role	Arg3		||| %%%%
4	خود	PR	MOZ	3	null	null	role		1--||| JUNK	
5	دستور	N	NVE	6	امر§n-11505	رخداد§n-13136	no		||| JUNK	
6	داد	V	PRD	1	فرمان دادن§v-19253	رخداد§n-13136	role_action		-1||| JUNK	
7	تا	SUBR	VCL	6	null	null	junk	Arg1		||| JUNK	
8	از	PREP	NPP	10	null	null	junk	Arg3		||| NO	
9	مهمان‌ها	N	NPP	10	null	null	role	Arg3		||| JUNK	
10	پذيرايي	N	NVE	11	پذيرايي§n-18367	خصوصيت_رواني§n-12725	no		||| NO	
11	کنند	V	PRD	7	null	null	junk		||| JUNK	

1	ازجمله	PREP	MOS	5	null	null	junk	Arg2		||| ROLE	
2	پذيرايي‌کنندگان	N	POSDEP	1	null	null	role		||| JUNK	
3	،	PUNC	PUNC	2	null	null	junk		||| JUNK	
4	يوسف	N	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	
5	بود	V	ROOT	0	null	null	junk		||| JUNK	
6	.	PUNC	PUNC	5	null	null	junk		||| JUNK	

1	زليخا	N	SBJ	10	null	null	role	Arg0		||| NO	
2	به	PREP	VPP	10	null	null	junk	Arg3		||| LOCATION	
3	دست	N	VPP	10	يد§n-13538	رابطه§n-13628	static_object	Arg3		||| JUNK	
4	هر	ADJ	NPREMOD	5	null	null	junk		5||| JUNK	
5	کدام	N	MOZ	3	null	null	junk		||| JUNK	
6	از	PREP	POSDEP	5	null	null	junk		||| JUNK	
7	مهمانان	N	POSDEP	5	null	null	role		||| ROLE_INTENT	
8	خود	PR	MOZ	7	null	null	role		1||| JUNK	
9	چاقويي	N	OBJ	10	چاقو§n-11016	شيء§n-12703	static_object	Arg1		||| JUNK	
10	داد	V	ROOT	0	null	null	junk		||| TIME	
11	تا	SUBR	AJUCL	10	null	null	junk	ArgM_CAU		||| JUNK	
12	پرتقال‌ها	N	OBJ	15	null	null	static_object	Arg1		||| ROLE	
13	را	POSTP	OBJ	15	null	null	junk	Arg1		||| JUNK	
14	پوست	N	NVE	15	پوسه§n-12555	شيء§n-12703	static_object		||| ROLE_INTENT	
15	بگيرند	V	AJUCL	10	پوست کندن§v-18563	رخداد§n-13136	role_action		7||| JUNK	

1	اما	CONJ	VCONJ	12	null	null	junk		||| JUNK	
2	آن‌ها	PR	SBJ	12	null	null	role	Arg1	Arg0		7-||| ROLE	
3	با	PREP	ADVRB	12	null	null	junk	ArgM_ADV		||| ROLE	
4	مشاهده	N	ADVRB	12	null	null	no	ArgM_ADV		||| JUNK	
5	يوسف	N	MOZ	4	يوسف§n-23957	نفر§n-13075	role		||| JUNK	
6	و	CONJ	NCONJ	5	null	null	junk		||| ROLE	
7	جمال	N	NCONJ	5	وجاهت§n-11176	مشخصه§n-12756	role_state		5||| JUNK	
8	و	CONJ	NCONJ	7	null	null	junk		||| ROLE	
9	زيبايي	N	NCONJ	7	زيبايي§n-19694	مشخصه§n-12756	role_state		5||| NO	
10	او	PR	MOZ	7	يوسف§n-23957	نفر§n-13075	role		5||| JUNK	
11	حيرت‌زده	ADJ	MOS	12	null	مشخصه§n-12756	role_state	Arg2		2||| ROLE_STATE	
12	‌شده	V	VCONJ	17	گرديدن§v-9382	رخداد§n-13136	no		||| JUNK	
13	و	CONJ	VCONJ	17	null	null	junk		||| JUNK	
14	دستان	N	OBJ	17	null	null	no	Arg1		||| NO	
15	خود	PR	MOZ	14	null	null	role		2||| ROLE_STATE	
16	را	POSTP	OBJ	17	null	null	junk	Arg1		||| JUNK	
17	بريدند	V	ROOT	0	بريدن§v-7724	رخداد§n-13136	role_action		2||| %%%%

1	و	CONJ	VCONJ	7	null	null	junk		||| JUNK	
2	بدين	PREP	ADVRB	7	null	null	no	ArgM_MNR		||| ROLE	
3	گونه	N	POSDEP	2	شيوه§n-10396	رخداد§n-13136	no		||| ROLE	
4	توسط	PREP	ADVRB	7	null	null	junk	ArgM_ADV		||| ROLE_INTENT	
5	زليخا	N	POSDEP	4	null	null	role		||| JUNK	
6	رسوا	ADJ	MOS	7	رسوا§a-1790	مشخصه§n-12756	role_state	Arg2		2-||| JUNK	
7	شدند	V	ROOT	0	null	null	junk		||| JUNK	

1	و	CONJ	VCONJ	7	null	null	junk		||| NO	
2	خداوند	N	SBJ	7	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no	Arg0		||| NO	
3	دعاي	N	OBJ	7	null	null	no	Arg1		||| JUNK	
4	او	PR	MOZ	3	يوسف§n-23957	نفر§n-13075	role		5--||| ROLE	
5	را	POSTP	OBJ	7	null	null	junk	Arg1		||| JUNK	
6	مستجاب	ADJ	MOS	7	null	null	no	Arg2		||| ROLE_STATE	
7	نمود	V	ROOT	0	گرديدن§v-9382	رخداد§n-13136	no		||| NO	
8	.	PUNC	PUNC	7	null	null	junk		||| JUNK	
roles= [
	[1	زليخا	N	SBJ	3	null	null	role	Arg0	Arg0	Arg0		||| JUNK	JUNK	JUNK	]
			[1	زليخا	N	SBJ	10	null	null	role	Arg0		||| NO	]
			[5	زليخا	N	POSDEP	4	null	null	role		||| JUNK	]
	[5	زنان	N	OBJ	11	زوجه§n-12069	نفر§n-13075	role	Arg1		||| JUNK	]
			[12	زنان	N	OBJ	22	زوجه§n-12069	نفر§n-13075	role	Arg1		||| ROLE	]
	[13	يوسف	N	OBJ	18	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	]
			[4	يوسف	N	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	]
			[5	يوسف	N	MOZ	4	يوسف§n-23957	نفر§n-13075	role		||| JUNK	]
	[16	آن‌ها	PR	VPP	18	زوجه§n-12069	نفر§n-13075	role	Arg3		5||| JUNK	]
	[1	او	PR	SBJ	9	null	null	role	Arg0	Arg0		1-||| JUNK	]
	[5	اش	PR	MOZ	4	null	null	role		1||| JUNK	]
	[20	خود	PR	MOZ	19	null	null	role		1||| ROLE_INTENT	]
			[4	خود	PR	MOZ	3	null	null	role		1--||| JUNK	]
			[8	خود	PR	MOZ	7	null	null	role		1||| JUNK	]
			[15	خود	PR	MOZ	14	null	null	role		2||| ROLE_STATE	]
	[3	کنيزان	N	NPP	5	null	null	role	Arg3		||| %%%%]
	[9	مهمان‌ها	N	NPP	10	null	null	role	Arg3		||| JUNK	]
	[2	پذيرايي‌کنندگان	N	POSDEP	1	null	null	role		||| JUNK	]
	[7	مهمانان	N	POSDEP	5	null	null	role		||| ROLE_INTENT	]
	[2	آن‌ها	PR	SBJ	12	null	null	role	Arg1	Arg0		7-||| ROLE	]
	[10	او	PR	MOZ	7	يوسف§n-23957	نفر§n-13075	role		5||| JUNK	]
			[4	او	PR	MOZ	3	يوسف§n-23957	نفر§n-13075	role		5--||| ROLE	]]
DynamicObjects= []
StaticObjects= [
	[3	دست	N	VPP	10	يد§n-13538	رابطه§n-13628	static_object	Arg3		||| JUNK	]
	[9	چاقويي	N	OBJ	10	چاقو§n-11016	شيء§n-12703	static_object	Arg1		||| JUNK	]
	[12	پرتقال‌ها	N	OBJ	15	null	null	static_object	Arg1		||| ROLE	]
	[14	پوست	N	NVE	15	پوسه§n-12555	شيء§n-12703	static_object		||| ROLE_INTENT	]]
location= []
alternativeLocations= [
	[9	قصر	N	NPP	10	کاخ§n-10991	ساختار§n-12875	location	Arg3		loc||| ROLE	]
			[19	قصر	N	NPP	21	کاخ§n-10991	ساختار§n-12875	location	Arg3		||| JUNK	]]
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[3	کشيد	V	ROOT	0	طراحي کردن§v-9745	رخداد§n-13136	role_action		1||| JUNK	]
	[9	داد	V	PREDEP	10	null	null	role_action		1||| ROLE_INTENT	]
	[22	نمود	V	ROOT	0	خواندن§v-8493	رخداد§n-13136	role_action		1||| JUNK	]
	[6	داد	V	PRD	1	فرمان دادن§v-19253	رخداد§n-13136	role_action		-1||| JUNK	]
	[15	بگيرند	V	AJUCL	10	پوست کندن§v-18563	رخداد§n-13136	role_action		7||| JUNK	]
	[17	بريدند	V	ROOT	0	بريدن§v-7724	رخداد§n-13136	role_action		2||| %%%%]]
role_states= [
	[6	اشراف‌زاده	ADJ	NPOSTMOD	5	شيک§a-2189	مشخصه§n-12756	role_state		6||| ROLE_INTENT	]
	[13	اشرافي	ADJ	NPOSTMOD	12	شيک§a-2189	مشخصه§n-12756	role_state		12||| JUNK	]
	[15	متمکن	ADJ	AJCONJ	13	غني§a-46	مشخصه§n-12756	role_state		12||| %%%%]
	[16	شهر	N	MOZ	12	ملک§n-11759	گروه§n-12753	role_state		12||| JUNK	]
	[7	جمال	N	NCONJ	5	وجاهت§n-11176	مشخصه§n-12756	role_state		5||| JUNK	]
	[9	زيبايي	N	NCONJ	7	زيبايي§n-19694	مشخصه§n-12756	role_state		5||| NO	]
	[11	حيرت‌زده	ADJ	MOS	12	null	مشخصه§n-12756	role_state	Arg2		2||| ROLE_STATE	]
	[6	رسوا	ADJ	MOS	7	رسوا§a-1790	مشخصه§n-12756	role_state	Arg2		2-||| JUNK	]]
role_intents= [
	[2	نقشه‌اي	N	NVE	3	فکر§n-13030	خصوصيت_رواني§n-12725	role_intent		1||| JUNK	]
	[10	دعوت	N	NVE	11	دعوت§n-11510	خبر§n-12766	role_intent		1||| JUNK	]
	[4	نقشه	N	MOZ	3	فکر§n-13030	خصوصيت_رواني§n-12725	role_intent		1||| ROLE	]
	[6	مهماني	N	OBJ	9	ضيافت§n-13150	رخداد§n-13136	role_intent	Arg1		1||| JUNK	]
	[21	دعوت	N	NVE	22	دعوت§n-11510	خبر§n-12766	role_intent		1||| JUNK	]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene12*************************************

1	با	PREP	ADVRB	32	null	null	junk		||| JUNK	
2	وجودي	N	ADVRB	32	null	null	no		||| NO	
3	که	SUBR	NCL	2	null	null	junk		||| JUNK	
4	يوسف	N	SBJ	9	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	
5	در	PREP	ADVRB	9	null	null	junk	ArgM_ADV		||| NO	
6	اين	ADJ	NPREMOD	7	null	null	junk		7||| ROLE_STATE	
7	ماجرا	N	ADVRB	9	null	null	no	ArgM_ADV		||| JUNK	
8	بي‌گناه	ADJ	TAM	9	بي گناه§a-839	مشخصه§n-12756	role_state	Arg2		4||| JUNK	
9	شناخته‌شد	V	PRD	3	شناختن§v-8761	رخداد§n-13136	no		||| %%%%
10	اما	CONJ	VCONJ	32	null	null	junk		||| ROLE	
11	زليخا	N	SBJ	32	null	null	role	Arg0	Arg0		||| JUNK	JUNK	
12	و	CONJ	NCONJ	11	null	null	junk		||| JUNK	
13	خاندان	N	NCONJ	11	طايفه§n-20062	نفر§n-13075	role		||| ROLE_INTENT	
14	ش	PR	MOZ	13	null	null	role		11||| JUNK	
15	براي	PREP	ADVRB	32	null	null	junk	ArgM_CAU		||| LOCATION	
16	اين	PR	POSDEP	15	null	null	junk		||| ROLE_STATE	
17	که	SUBR	NCL	16	null	null	junk		||| JUNK	
18	اين	ADJ	NPREMOD	19	null	null	junk		19||| JUNK	
19	لکه	N	OBJ	25	null	null	no	Arg1		||| %%%%
20	ننگ	N	MOZ	19	سرشکستگي§n-12472	null	no		||| JUNK	
21	را	POSTP	OBJ	25	null	null	junk	Arg1		||| NO	
22	از	PREP	PREDEP	24	null	null	junk		||| JUNK	
23	خود	PR	POSDEP	22	null	null	role		11||| NO	
24	محو	ADJ	MOS	25	مفتون§a-605	مشخصه§n-12756	no	Arg2		||| NO	
25	کنند	V	PRD	17	null	null	junk		||| JUNK	
26	دستور	N	OBJ	32	امر§n-11502	رخداد§n-13136	no	Arg1		||| JUNK	
27	زنداني	ADJ	PREDEP	28	ناآزاد§a-604	مشخصه§n-12756	role_state		29||| JUNK	
28	کردن	N	MOZ	26	null	null	junk		||| ROLE_INTENT	
29	يوسف	N	MOZ	28	يوسف§n-23957	نفر§n-13075	role		||| ROLE_ACTION	
30	را	POSTP	OBJ	32	null	null	junk	Arg1		||| NO	
31	صادر	ADJ	NVE	32	null	null	no		||| JUNK	
32	نمودند	V	ROOT	0	صادر کردن§v-8772	رخداد§n-13136	role_action		11||| JUNK	
33	.	PUNC	PUNC	32	null	null	junk		||| ROLE	
roles= [
	[4	يوسف	N	SBJ	9	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	]
			[29	يوسف	N	MOZ	28	يوسف§n-23957	نفر§n-13075	role		||| ROLE_ACTION	]
	[11	زليخا	N	SBJ	32	null	null	role	Arg0	Arg0		||| JUNK	JUNK	]
	[13	خاندان	N	NCONJ	11	طايفه§n-20062	نفر§n-13075	role		||| ROLE_INTENT	]
	[14	ش	PR	MOZ	13	null	null	role		11||| JUNK	]
	[23	خود	PR	POSDEP	22	null	null	role		11||| NO	]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= []
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[32	نمودند	V	ROOT	0	صادر کردن§v-8772	رخداد§n-13136	role_action		11||| JUNK	]]
role_states= [
	[8	بي‌گناه	ADJ	TAM	9	بي گناه§a-839	مشخصه§n-12756	role_state	Arg2		4||| JUNK	]
	[27	زنداني	ADJ	PREDEP	28	ناآزاد§a-604	مشخصه§n-12756	role_state		29||| JUNK	]]
role_intents= []
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene13*************************************

1	که	SUBR	ROOT	0	null	null	junk		||| JUNK	
2	بعداز	PREP	ADVRB	9	null	null	no	ArgM_TMP		||| ROLE_ACTION	
3	مدتي	N	POSDEP	2	null	null	time		||| JUNK	
4	هر	ADJ	APREMOD	5	null	null	junk		||| JUNK	
5	دو	NUM	SBJ	9	null	null	role	Arg0		||| JUNK	
6	در	PREP	ADVRB	9	null	null	junk	ArgM_LOC		||| JUNK	
7	زندان	N	ADVRB	9	حبسگاه§n-14859	جا§n-12733	location	ArgM_LOC		loc||| ROLE_INTENT	
8	خوابي	N	OBJ	9	رويا§n-15102	خصوصيت_رواني§n-12725	no	Arg1		||| JUNK	
9	ديدند	V	PRD	1	رويا ديدن§v-8482	رخداد§n-13136	role_action		||| JUNK	
10	،	PUNC	PUNC	9	null	null	junk		||| %%%%

1	تعبير	N	SBJ	6	تعبير§n-20347	خصوصيت_رواني§n-12725	no	Arg1		||| ROLE_STATE	
2	خواب	N	MOZ	1	رويا§n-15102	خصوصيت_رواني§n-12725	no		||| ROLE	
3	آن‌ها	PR	MOZ	2	null	null	role		5-||| ROLE	
4	بدين	PREP	MOS	6	null	null	no	Arg2		||| JUNK	
5	شکل	N	POSDEP	4	null	null	no		||| NO	
6	بود	V	ROOT	0	null	null	junk		||| JUNK	
7	که	SUBR	NCL	5	null	null	junk		||| ROLE	
8	يکي‌از	ADJ	NPREMOD	9	null	null	no		9||| ROLE	
9	آن‌ها	PR	SBJ	13	null	null	role	Arg1		5-||| JUNK	
10	از	PREP	AJPP	12	null	null	junk		||| JUNK	
11	زندان	N	AJPP	12	حبسگاه§n-14859	جا§n-12733	location		||| JUNK	
12	آزاد	ADJ	MOS	13	ول§a-1594	مشخصه§n-12756	role_state	Arg2		9||| ROLE_ACTION	
13	مي‌شد	V	VCONJ	19	گرديدن§v-9382	رخداد§n-13136	no		||| JUNK	
14	و	CONJ	VCONJ	19	null	null	junk		||| JUNK	
15	ديگري	PR	SBJ	19	null	null	role	Arg1		5-||| LOCATION	
16	به	PREP	VPRT	19	null	null	junk		||| NO	
17	دار	N	POSDEP	16	null	null	junk		||| JUNK	
18	مجازات	N	MOZ	17	مجازات§n-13887	خصوصيت_رواني§n-12725	role_state		9||| JUNK	
19	آويخته‌مي‌شد	V	PRD	7	آويزان بودن§v-15598	رخداد§n-13136	role_action		9||| JUNK	
20	.	PUNC	PUNC	6	null	null	junk		||| JUNK	

1	يوسف	N	SBJ	11	يوسف§n-23957	نفر§n-13075	role	Arg0		||| JUNK	
2	به	PREP	VPP	11	null	null	junk	Arg3		||| JUNK	
3	کسي	N	VPP	11	null	null	role	Arg3		||| %%%%
4	که	SUBR	NCL	3	null	null	junk		||| ROLE	
5	در	PREP	ADVRB	10	null	null	junk	ArgM_TMP		||| JUNK	
6	آينده	N	ADVRB	10	null	null	time	ArgM_TMP		||| TIME	
7	از	PREP	AJPP	9	null	null	junk		||| JUNK	
8	زندان	N	AJPP	9	حبسگاه§n-14859	جا§n-12733	location		8||| STATIC_OBJECT	
9	آزاد	ADJ	MOS	10	ول§a-1594	مشخصه§n-12756	role_state	Arg2		3||| STATIC_OBJECT	
10	مي‌شد	V	PRD	4	آزاد کردن§v-7836	رخداد§n-13136	no		||| STATIC_OBJECT	
11	گفت	V	ROOT	0	گفتن§v-9244	رخداد§n-13136	role_action		1||| STATIC_OBJECT	
12	که	SUBR	VCL	11	null	null	junk	Arg1		||| STATIC_OBJECT	
13	سفارش	N	NVE	18	موعظه§n-11468	خبر§n-12766	no		||| STATIC_OBJECT	
14	م	PR	OBJ	18	يوسف§n-23957	نفر§n-13075	role	Arg3		1||| STATIC_OBJECT	
15	را	POSTP	OBJ	18	null	null	junk	Arg3		||| ROLE_ACTION	
16	به	PREP	NPP	13	null	null	junk	Arg4		||| JUNK	
17	پادشاه	N	NPP	13	سلطان§n-13386	نفر§n-13075	role	Arg4		||| JUNK	
18	بکن	V	PRD	12	null	null	junk		||| JUNK	
roles= [
	[5	دو	NUM	SBJ	9	null	null	role	Arg0		||| JUNK	]
	[3	آن‌ها	PR	MOZ	2	null	null	role		5-||| ROLE	]
			[9	آن‌ها	PR	SBJ	13	null	null	role	Arg1		5-||| JUNK	]
	[15	ديگري	PR	SBJ	19	null	null	role	Arg1		5-||| LOCATION	]
	[1	يوسف	N	SBJ	11	يوسف§n-23957	نفر§n-13075	role	Arg0		||| JUNK	]
	[3	کسي	N	VPP	11	null	null	role	Arg3		||| %%%%]
	[14	م	PR	OBJ	18	يوسف§n-23957	نفر§n-13075	role	Arg3		1||| STATIC_OBJECT	]
	[17	پادشاه	N	NPP	13	سلطان§n-13386	نفر§n-13075	role	Arg4		||| JUNK	]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
